Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-03-23,12292.65,12564.75,12281.2,12541.1,24933528.0,2088.07
2018-03-21,12665.75,12698.35,12554.15,12608.85,,
2018-03-19,12660.9,12725.35,12392.7,12421.3,18363549.0,1545.8
2018-03-16,12776.25,12778.6,12606.6,12698.4,35030341.0,3283.96
2018-03-15,12815.6,12860.0,12727.8,12762.25,29153997.0,1871.79
2018-03-14,12725.2,12840.45,12711.25,12786.95,20788341.0,1552.87
2018-03-13,12778.35,12842.2,12663.3,12734.2,61575647.0,13792.85
2018-03-12,12825.25,13012.35,12813.25,12923.4,20430953.0,1570.64
2018-03-08,12757.0,12802.15,12645.75,12682.4,17687606.0,1299.04
2018-03-07,12767.45,12856.55,12650.25,12677.1,20800256.0,1554.43
2018-03-06,12924.45,12930.55,12667.45,12706.1,22173389.0,1501.42
2018-03-05,12768.55,12890.95,12684.3,12857.65,27912338.0,2030.52
2018-03-01,12823.9,12842.65,12736.4,12769.45,18951090.0,1282.47
2018-02-28,12744.4,12904.2,12696.35,12809.0,30263751.0,2409.31
2018-02-27,12777.25,12797.35,12688.0,12746.8,24224177.0,1396.43
2018-02-26,12864.6,12903.9,12692.35,12713.15,,
2018-02-23,12784.1,12888.0,12701.1,12871.15,28957080.0,2325.33
2018-02-22,12663.65,12794.0,12631.85,12730.25,34044908.0,2710.49
2018-02-21,12490.5,12703.85,12452.35,12660.05,30130562.0,2322.32
2018-02-20,12272.95,12491.6,12268.55,12372.0,17745502.0,1201.54
2018-02-19,12474.15,12479.4,12228.8,12331.4,19602259.0,1257.88
2018-02-16,12512.75,12687.45,12412.1,12437.9,22184554.0,1678.07
2018-02-15,12497.5,12584.25,12439.05,12456.5,20368397.0,1322.36
2018-02-14,12438.2,12546.0,12346.0,12420.0,23964695.0,1675.03
2018-02-12,12544.7,12591.95,12390.9,12422.65,20607388.0,1255.51
2018-02-09,12449.7,12556.2,12350.4,12492.7,19357882.0,1241.4
2018-02-08,12556.8,12764.75,12468.5,12588.35,27839336.0,1776.56
2018-02-07,12667.6,12680.3,12419.4,12450.05,22645095.0,1580.44
2018-02-06,12516.2,12750.7,12490.75,12562.35,25026447.0,1782.24
2018-02-05,12878.7,13104.8,12845.0,12936.9,22877661.0,1705.59
2018-02-02,12872.5,13130.25,12846.2,12983.6,23059095.0,1723.63
2018-01-31,13050.85,13142.85,12943.35,12986.4,26948151.0,2004.28
2018-01-29,13113.2,13328.05,13096.45,13242.5,25031799.0,1993.56
2018-01-25,13257.9,13259.15,12996.75,13117.85,42395918.0,2723.25
2018-01-24,13020.3,13553.95,13005.95,13249.55,50984631.0,3992.15
2018-01-23,12919.3,13084.2,12898.25,13048.9,30760333.0,2441.26
2018-01-19,12577.25,12668.55,12485.3,12633.85,17534922.0,1327.65
2018-01-17,12473.05,12653.25,12432.75,12531.4,29648559.0,2780.78
2018-01-16,12036.55,12487.25,12027.3,12430.95,38696788.0,3047.06
2018-01-15,12103.5,12214.65,11971.95,11992.75,17080568.0,1203.27
2018-01-12,12144.8,12146.75,12004.4,12099.15,26161722.0,2053.47
2018-01-11,12060.8,12178.8,12045.45,12103.1,27129023.0,2022.24
2018-01-10,11803.85,12076.25,11762.5,12054.7,24012407.0,1757.47
2018-01-09,11805.35,11819.35,11685.75,11790.85,,
2018-01-08,11674.35,11793.85,11661.5,11776.85,17601459.0,1034.84
2018-01-05,11575.45,11691.45,11541.8,11633.55,17507348.0,1168.19
2018-01-04,11599.05,11607.75,11510.4,11590.8,17417396.0,993.59
