,score
2017-01-25,-0.2066666666666667
2017-02-08,0.13
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-03-08,-0.7033333333333333
2017-03-09,0.04400000000000002
2017-03-21,0.0
2017-03-24,-0.3290909090909091
2017-03-30,-0.73
2017-03-31,0.03
2017-04-01,0.0
2017-04-03,0.0
2017-04-04,-0.1366666666666667
2017-04-05,-0.225
2017-04-06,0.25
2017-04-07,-0.05714285714285715
2017-04-10,-0.31
2017-04-11,-0.22000000000000003
2017-04-12,-0.19666666666666666
2017-04-13,-0.02666666666666667
2017-04-14,-0.30375
2017-04-18,0.0
2017-04-19,-0.0925714285714286
2017-04-20,-0.09772727272727272
2017-04-21,-0.16885714285714287
2017-04-22,-0.1713636363636363
2017-05-02,0.0
