,Close,High,Low,Open,close_score,open_score
2017-05-03,2337.3,2345.0,2268.5,2295.0,0.0,0.0
2017-05-02,2289.9,2302.0,2280.0,2294.0,0.2093,0.06115185185185186
2017-04-28,2273.15,2298.75,2268.0,2294.0,0.15567368421052633,0.22490243902439025
2017-04-27,2302.65,2327.8,2277.65,2306.05,0.23257500000000006,1.7231
2017-04-26,2310.35,2343.95,2303.05,2340.0,0.1449058823529412,0.1915444444444445
2017-04-25,2311.5,2344.45,2302.7,2328.0,0.2266740740740741,0.29107500000000003
2017-04-24,2328.1,2339.65,2282.5,2300.0,-0.06874222222222222,-0.11675
2017-04-21,2310.8,2335.65,2301.0,2329.1,0.04651739130434783,0.235775
2017-04-20,2325.5,2332.0,2290.95,2305.3,0.07227575757575758,0.16361804511278194
2017-04-19,2299.15,2348.7,2252.8,2263.5,0.19631290322580647,-0.14915599999999998
2017-04-18,2308.8,2334.2,2302.05,2330.0,0.0,0.01560375
2017-04-17,2314.85,2332.9,2295.15,2330.4,-0.03873999999999999,0.11227246376811598
2017-04-13,2328.65,2409.0,2321.05,2400.0,0.10283333333333332,0.14803125
2017-04-12,2393.25,2428.0,2383.0,2422.5,2.7282,1.2835
2017-04-11,2419.3,2443.1,2406.0,2417.3,0.3399857142857142,0.19840740740740745
2017-04-10,2422.25,2449.0,2405.0,2432.0,0.21386875,0.10716250000000002
2017-04-07,2429.05,2433.25,2392.15,2394.9,0.2115,0.19676774193548388
2017-04-06,2400.05,2410.0,2392.55,2400.0,0.185575,0.02928936170212766
2017-04-05,2401.25,2419.9,2395.0,2419.9,0.09697599999999999,0.2665687500000001
2017-04-03,2411.7,2435.0,2408.2,2435.0,-0.05380588235294118,0.08092380952380952
